"('not yet another barbecue sauce', 'Malty')"
"('easy crock pot chicken', 'Specialty')"
"('my favorite lentil soup', 'Hoppy')"
"('chocolate passion trifle', 'Roasty')"
"('autumn fruit crisp', 'Fruity/Spicy')"
"('debbies home cheese fries', 'Fruity/Spicy')"
"('sweet salad greens with almonds', 'Smoky')"
"('indian sqaw bread', 'Malty')"
"('easy blueberry almond scones', 'Fruity/Spicy')"
"('potluck macaroni salad', 'Fruity/Spicy')"
"('15 layer russian honey cake', 'Specialty')"
"('black rice   xoi nep than', 'Smoky')"
"('twice baked jalapeo potatoes', 'Specialty')"
"('mama s quesadillas', 'Specialty')"
"('jason s veggie medley', 'Specialty')"
"('chocolate cola cake', 'Specialty')"
"('spaghetti squash   pork stir fry', 'Rich/Hearty')"
"('apple carrot onion side dish', 'Malty')"
"('lemon chive noodles', 'Hoppy')"
"('peanut butter playdough', 'Malty')"
"('foolproof roast chicken dinner', 'Fruity/Spicy')"
"('indian pudding  microwave', 'Specialty')"
"('italian pan bread aka focaccia', 'Sour')"
"('frozen banana popsicles', 'Roasty')"
"('thai chicken balls', 'Hoppy')"
"('german fried asparagus with herb cream', 'Hoppy')"
"('baked red beans', 'Malty')"
"('maple glazed chicken wings', 'Malty')"
"('peas and mushrooms', 'Hoppy')"
"('blueberry cheese bars', 'Fruity/Spicy')"
"('myan burritos', 'Malty')"
"('apricot canapes', 'Hoppy')"
"('ambrosia squares', 'Specialty')"
"('diet delight chicken curry', 'Fruity/Spicy')"
"('fluffy eggless pancakes', 'Specialty')"
"('betty crocker chicken salad filling', 'Hoppy')"
"('noodles with peanut sauce', 'Hoppy')"
"('sweet   smoky salmon kabobs', 'Hoppy')"
"('fettuccine with shrimp  tomatoes and basil', 'Hoppy')"
"('italian sausage stir fry', 'Hoppy')"
"('old west bbq short ribs and noodles', 'Hoppy')"
"('chicken tetrazzini casserole', 'Fruity/Spicy')"
"('sopa de pasta or sopa de fideos', 'Hoppy')"
"('sarasota s sweet and spicy grilled shrimp', 'Fruity/Spicy')"
"('falafel fried', 'Hoppy')"
"('a dilly of a pea salad', 'Crisp')"
"('turkish spice mix', 'Specialty')"
"('almost flourless peanut butter cookies', 'Specialty')"
"('holiday poke cupcakes', 'Sour')"
"('oven roasted kale', 'Hoppy')"
"('carrot and pineapple cake   ina garten', 'Specialty')"
"('tami s tri color caprese salad', 'Fruity/Spicy')"
"('chicken   chanterelle phyllo cups', 'Fruity/Spicy')"
"('lump crab meat tostadas', 'Hoppy')"
"('stamppot with curly endive lettuce and cheese', 'Fruity/Spicy')"
"('real mexican enchiladas', 'Hoppy')"
"('drumstick treat dessert', 'Specialty')"
"('cheesy vegetable chowder', 'Specialty')"
"('no knead ciabatta', 'Malty')"
"('garbanzo noodle soup', 'Malty')"
"('parmesan butter pan biscuits', 'Fruity/Spicy')"
"('strawberry asparagus salad', 'Fruity/Spicy')"
"('spinach quiche with sun dried tomato and basil feta cheese', 'Fruity/Spicy')"
"('giada s chicken spezzatino  stew', 'Rich/Hearty')"
"('rice krispies cookies  deyo', 'Specialty')"
"('white chocolate macadamia nut bark', 'Specialty')"
"('chicken and cheese empanadas', 'Fruity/Spicy')"
"('bacon wrapped pork chops with bbq sauce', 'Malty')"
"('sourdough ciabatta', 'Sour')"
"('roast pork loin', 'Rich/Hearty')"
"('praline pumpkin custard pie', 'Specialty')"
"('homemade mayonnaise a la craig claiborne and pierre franey', 'Hoppy')"
"('snow balls  oreo balls or oreo truffles', 'Specialty')"
"('pumpkin spice cupcakes with cream cheese frosting recipe', 'Specialty')"
"('delicious milk chocolate toffee with almonds', 'Specialty')"
"('marinated steak with blue cheese', 'Hoppy')"
"('blueberry pineapple pina colada pie', 'Specialty')"
"('calico peas', 'Hoppy')"
"('saucy cranberry cake', 'Specialty')"
"('breakfast muffins', 'Malty')"
"('bleu cheese dip', 'Hoppy')"
"('roasted potatoes with bacon  cheese  and parsley', 'Hoppy')"
"('glazed pork chops and apple bake', 'Malty')"
"('strawberry shortcake s more', 'Malty')"
"('delicious asian soup', 'Crisp')"
"('best ever ginger cookies', 'Fruity/Spicy')"
"('3 cheese chicken spinach pasta bake', 'Hoppy')"
"('roasted cherry or grape tomatoes', 'Sour')"
"('6 can chicken tortilla soup', 'Malty')"
"('rara meat  mutton in  whole  spices', 'Hoppy')"
"('cold salmon with mustard sauce recipe', 'Fruity/Spicy')"
"('watercress soup  julia child', 'Rich/Hearty')"
"('tortilla pie', 'Fruity/Spicy')"
"('ww five fragrant beef', 'Hoppy')"
"('apple pear coffee cake', 'Specialty')"
"('chocolate bread pudding', 'Specialty')"
"('10 bean soup', 'Malty')"
"('hurry up slow cooked pot roast', 'Roasty')"
"('incredible baked meatballs', 'Hoppy')"
"('no kraut open faced reuben', 'Fruity/Spicy')"
"('the grouper club sandwich', 'Hoppy')"
"('testament  chicken rice  casserole', 'Fruity/Spicy')"
"('due campari cocktail', 'Hoppy')"
"('station  not ranch      dressing', 'Hoppy')"
"('mediterranean twists', 'Hoppy')"
"('smoked pork shoulder  smoker or pit', 'Malty')"
"('spiced bat wings chicken wings', 'Fruity/Spicy')"
"('creamy caramel martini', 'Specialty')"
"('white chocolate scones', 'Specialty')"
"('crock pot pulled pork bbq', 'Malty')"
"('fresh fish in white wine', 'Hoppy')"
"('breakfast muffins  make ahead', 'Specialty')"
"('honey pecan candy', 'Specialty')"
"('a very proper english custard', 'Specialty')"
"('holy guacamole', 'Hoppy')"
"('apple and black currant crumble bars', 'Malty')"
"('spaghetti with olive oil  garlic and chillies', 'Hoppy')"
"('caramel layer cake with apple frosting', 'Specialty')"
"('coco   banana s dhal', 'Hoppy')"
"('basil parmesan biscuits', 'Fruity/Spicy')"
"('green beans and shallots', 'Specialty')"
"('jujube sweet pickles   texas style', 'Specialty')"
"('nb seafood casserole', 'Hoppy')"
"('cheese fritters', 'Hoppy')"
"('chicken soup  thai style', 'Crisp')"
"('emeril s breaded   baked pork chops', 'Hoppy')"
"('cheesecake boo raj', 'Specialty')"
"('blokey egg and sausage potato salad', 'Hoppy')"
"('heirloom brown sugar cookies', 'Specialty')"
"('smoked salmon and brie quiche', 'Specialty')"
"('amish potato salad from cook s country   america s test kitchen', 'Specialty')"
"('rachel s fancy macaroni and cheese', 'Fruity/Spicy')"
"('cosmorita', 'Hoppy')"
"('how to cook frozen vegetables in the microwave', 'Rich/Hearty')"
"('fresh greens  avocado with a lime vinaigrette', 'Hoppy')"
"('lucy s turkey sandwich', 'Specialty')"
"('voeksville camping sandwich', 'Specialty')"
"('soya tomato cheese casserole', 'Fruity/Spicy')"
"('sari s holiday cake', 'Specialty')"
"('meatballs in spicy tomatillo sauce  albondigas en salsa verde', 'Hoppy')"
"('herb twists', 'Hoppy')"
"('crock pot meatloaf', 'Hoppy')"
"('fresh peas with lettuce and green garlic', 'Hoppy')"
"('beefy shells and cheese', 'Hoppy')"
"('porcini risotto', 'Hoppy')"
"('barbecued pork tenderloin', 'Roasty')"
"('shredded pork bbq stew', 'Malty')"
"('easy asian style chicken   rice', 'Malty')"
"('chipotle mexican grill honey vinaigrette', 'Malty')"
"('peach ginger chutney in the crock pot', 'Malty')"
"('medaglioni di vitello funghi   veal with mushrooms   cognac', 'Hoppy')"
"('city fried chicken', 'Hoppy')"
"('south beach peanut butter cup', 'Malty')"
"('new england naked cape codders', 'Sour')"
"('tomato bake', 'Hoppy')"
"('dipping sauce for frozen pot stickers', 'Malty')"
"('american strawberry shortcake', 'Specialty')"
"('butterscotch  ice cream topping', 'Specialty')"
"('fajita chicken soup', 'Fruity/Spicy')"
"('sorta zagna', 'Specialty')"
"('wimbledon pitcher', 'Crisp')"
"('homemade yogurt in a cooler', 'Malty')"
"('luscious lemon angel roll  pampered chef', 'Specialty')"
"('gazpacho macaroni salad', 'Hoppy')"
"('puffed wheat squares', 'Malty')"
"('crock pot malaysian sweet potatoes', 'Hoppy')"
"('baked creamy potato casserole', 'Hoppy')"
"('apricot vanilla vodka', 'Fruity/Spicy')"
"('crustless zucchini quiche', 'Hoppy')"
"('savory herb muffins', 'Hoppy')"
"('asparagus walnut salad', 'Fruity/Spicy')"
"('leftover beef enchiladas', 'Hoppy')"
"('dees spanish avocado omelet', 'Crisp')"
"('skirt steak', 'Hoppy')"
"('mr  breakfast s boo nana    tasty dish', 'Malty')"
"('my momma s pear salad', 'Specialty')"
"('sriracha roasted chicken', 'Malty')"
"('slow boat to china', 'Roasty')"
"('perfect choice caramelized onions', 'Hoppy')"
"('ina s coconut macaroons', 'Specialty')"
"('dressed up  salad with secret dressing', 'Crisp')"
"('simply baked monte cristos', 'Specialty')"
"('sesame beef and asparagus stir fry', 'Hoppy')"
"('mexican fruit salad', 'Hoppy')"
"('pork tenderloins with balsamic raisin sauce', 'Malty')"
"('white chocolate lavender cookies', 'Specialty')"
"('kangaroo pie   actually  fish in pastry  with a cheese sauce', 'Hoppy')"
"('mixed potato tart', 'Hoppy')"
"('portabella and brie appetizers', 'Hoppy')"
"('pesto pinwheels', 'Hoppy')"
"('simon s pumpkin bread pudding', 'Specialty')"
"('my version of elvis  party meatballs', 'Smoky')"
"('collard greens  vegan', 'Rich/Hearty')"
"('world s best blue cheese dressing', 'Fruity/Spicy')"
"('fried fish without any oil', 'Hoppy')"
"('savory and spicy northern beans  quick and easy', 'Hoppy')"
"('green mint crinkles', 'Specialty')"
"('apricot walnut tea bread', 'Specialty')"
"('substitute japanese hon mirin  sweet rice wine', 'Malty')"
"('asian noodles  my sister s recipe', 'Hoppy')"
"('simple dessert egg rolls', 'Specialty')"
"('basic fat burning soup', 'Malty')"
"('watermelon curry', 'Hoppy')"
"('pork alentejana', 'Malty')"
"('baker s prune butter  substitute for oil in chocolate cakes', 'Roasty')"
"('applesauce banana muffins', 'Malty')"
"('thick fruit whip', 'Hoppy')"
"('homemade tuna casserole', 'Hoppy')"
"('mirj s easy cherry pudding', 'Specialty')"
"('tofu and swiss chard stacks', 'Malty')"
"('blue cheese french dressing', 'Hoppy')"
"('ww chicken and white bean stew with lemon and sage', 'Fruity/Spicy')"
"('tinaktak  ground beef in coconut milk', 'Hoppy')"
"('pasta with sauteed tomatoes  olives and artichokes', 'Fruity/Spicy')"
"('barb s almond pound cake', 'Fruity/Spicy')"
"('comforting broccoli soup', 'Fruity/Spicy')"
"('sweet n sour macaroni salad', 'Malty')"
"('easy lemon ginger chicken', 'Fruity/Spicy')"
"('chicken cheese bundles', 'Specialty')"
"('hoisin braised tempeh and chinese vegetables', 'Hoppy')"
"('caramel apple orchard martini', 'Specialty')"
"('bread machine apple chunk bread', 'Malty')"
"('asparagus chicken salad', 'Hoppy')"
"('tomato baguette pizza', 'Fruity/Spicy')"
"('greg s famous subs', 'Specialty')"
"('ga lei se dik  chinese beefsteak in curry sauce', 'Malty')"
"('mini club sandwiches with salmon carpaccio and maple', 'Fruity/Spicy')"
"('yogurt fruit parfait', 'Specialty')"
"('cucumber salad with rice wine vinegar', 'Malty')"
"('smashed potatoes', 'Sour')"
"('blueberry mascarpone cheese tarts', 'Specialty')"
"('chicken spinach cobbler', 'Malty')"
"('creme cake', 'Specialty')"
"('bourbon or rum balls', 'Malty')"
"('sopa de cenoura   carrot soup   portugal', 'Specialty')"
"('mulled margarita', 'Malty')"
"('the absolute and most ultimate macaroni and cheese', 'Specialty')"
"('barbecue blt chicken salad', 'Hoppy')"
"('kabu    japanese turnip pickles', 'Hoppy')"
"('ginger pumpkin soup  crock pot', 'Fruity/Spicy')"
"('hot  cross buns', 'Malty')"
"('london lemonade martini', 'Hoppy')"
"('apache green chili', 'Hoppy')"
"('simply sweet wilted lettuce', 'Crisp')"
"('romaldo s carnitas', 'Hoppy')"
"('potato side', 'Specialty')"
"('lemon pie cake', 'Fruity/Spicy')"
"('hearty broccoli soup', 'Fruity/Spicy')"
"('melt in your mouth buckeyes', 'Specialty')"
"('toddler egg toast', 'Roasty')"
"('chili for frito pie', 'Hoppy')"
"('sumi salad  asian cabbage salad', 'Hoppy')"
"('creamy beef tacos', 'Specialty')"
"('creamy vegan tomato sauce', 'Fruity/Spicy')"
"('smokey beans   sausage soup', 'Rich/Hearty')"
"('green tea layer cake w green tea frosting', 'Specialty')"
"('raspberry coffee cake', 'Specialty')"
"('peanut butter granola', 'Malty')"
"('salsa  grilled chicken', 'Crisp')"
"('steak   mushrooms and bell pepper sandwich', 'Hoppy')"
"('tuna ramen dinner  great for college kids', 'Rich/Hearty')"
"('salata me spanakofeta  beet and spinach salad', 'Fruity/Spicy')"
"('creamy peaches', 'Specialty')"
"('five ingredient miracle whip banana bread', 'Malty')"
"('ciabatta bread', 'Sour')"
"('kashmiri garam masala', 'Roasty')"
"('aloha smoothie', 'Malty')"
"('chicken   chorizo skewers', 'Fruity/Spicy')"
"('baked passionfruit cheesecake', 'Specialty')"
"('sandwich king italian beef sandwiches', 'Hoppy')"
"('aphrodite s faster than takeout pizza', 'Fruity/Spicy')"
"('pumpkin seed bread', 'Specialty')"
"('ravioli with asparagus  mint   mascarpone', 'Fruity/Spicy')"
"('whole wheat pumpkin nut bread', 'Specialty')"
"('low carb turkey wraps', 'Hoppy')"
"('sugar cookies for charishma', 'Specialty')"
"('ritzy chicken nuggets', 'Crisp')"
"('chefy s rice pudding', 'Specialty')"
"('cheese with sun dried tomatoes', 'Fruity/Spicy')"
"('broccoli carrot rice stir fry', 'Malty')"
"('steak and mushroom florentine', 'Hoppy')"
"('double  maple syrup  scones', 'Malty')"
"('asparagus and cheese crock pot casserole', 'Specialty')"
"('fresh tomato and feta pasta salad', 'Fruity/Spicy')"
"('cachapas', 'Malty')"
"('mexican wedding cakes', 'Roasty')"
"('fruit frozen yogurt', 'Hoppy')"
"('homemade protein bar', 'Specialty')"
"('calypso burgers', 'Malty')"
"('slow cooker banana upside down cake', 'Specialty')"
"('finally  delicious sprouted gluten free egg free bread', 'Specialty')"
"('easy omelette for 2 or 3  paula deen style', 'Hoppy')"
"('chorizo with red wine  onions and dates', 'Malty')"
"('chicken saute with mozzarella cheese  kasarli tavuk', 'Hoppy')"
"('holiday spice rub for poultry', 'Malty')"
"('cranberry   lemon muffins', 'Hoppy')"
"('sticky guinness chicken wings', 'Fruity/Spicy')"
"('alexa s cilantro ginger flank steak', 'Fruity/Spicy')"
"('chicken bombay  oamc', 'Malty')"
"('dad s butter tarts', 'Malty')"
"('barbecue eggs', 'Malty')"
"('creamy bacon wrapped chicken', 'Specialty')"
"('baked carrots with caramelized onions', 'Malty')"
"('easy crock pot chicken bake', 'Malty')"
"('delicious tea scones', 'Malty')"
"('e z spicy seasoned salt', 'Hoppy')"
"('natural  whole wheat pancakes', 'Specialty')"
"('almond pea pesto pasta', 'Hoppy')"
"('winnie s cheese cookies', 'Fruity/Spicy')"
"('maple oat nut scones   starbucks', 'Malty')"
"('oven loaded turkey melts', 'Specialty')"
"('guilt free breakfast casserole', 'Hoppy')"
"('sunny day casserole  cheesy ham   vegetables', 'Specialty')"
"('delicious and easy herbed garlic bread', 'Fruity/Spicy')"
"('lamb chops with rosemary and port wine sauce', 'Hoppy')"
"('cranberry apple cobbler', 'Specialty')"
"('indian tacos', 'Hoppy')"
"('manhattan seafood chowder', 'Hoppy')"
"('frijoles de la olla', 'Hoppy')"
"('caramel butter cake', 'Specialty')"
"('chocolate peanut butter banana milkshake', 'Specialty')"
"('grilled whole cauliflower', 'Malty')"
"('apple walnut turkey sandwiches', 'Crisp')"
"('marinated goat cheese and walnuts meets  green beans', 'Fruity/Spicy')"
"('mediterranean roasted vegetables', 'Hoppy')"
"('sherried brie and porcini mushroom soup', 'Hoppy')"
"('french roast chicken', 'Fruity/Spicy')"
"('grandma geldner s pflaum  plum  torte', 'Fruity/Spicy')"
"('alexis apple crunch', 'Malty')"
"('triple malted chocolate cake with vanilla malted frosting', 'Specialty')"
"('hot wings  and blue cheese dip', 'Hoppy')"
"('ultimate strawberry cheesecake shake', 'Specialty')"
"('rolled oats hot cakes', 'Malty')"
"('hobo potatoes', 'Malty')"
"('fruit soup', 'Specialty')"
"('spicy oven dried tomatoes', 'Hoppy')"
"('lee s fruit salad', 'Fruity/Spicy')"
"('easy cheesy zucchini gratin', 'Specialty')"
"('sweet potato   pecan casserole', 'Malty')"
"('scandinavian drops', 'Malty')"
"('flounder fillets with panko bread crumbs', 'Hoppy')"
"('eggs portugal', 'Hoppy')"
"('pan fried oysters', 'Hoppy')"
"('cheesy oven fried chicken', 'Fruity/Spicy')"
"('watermelon fizz', 'Hoppy')"
"('medium hot restaurant style salsa', 'Malty')"
"('roast beef hash', 'Roasty')"
"('dijon mustard', 'Malty')"
"('pumpkin tea cakes', 'Specialty')"
"('christmas snowman cupcakes', 'Roasty')"
"('two bean toss', 'Hoppy')"
"('warm cabbage with bacon and thyme', 'Smoky')"
"('cashew chicken chow mein  easy', 'Fruity/Spicy')"
"('pork chop   scalloped potatoes', 'Hoppy')"
"('simple brown gravy', 'Malty')"
"('my prize winning meatloaf', 'Hoppy')"
"('chicken lemongrass and potato curry   adapted from andrea nguyen', 'Hoppy')"
"('sherried lobster bisque', 'Hoppy')"
"('chicory salad with pear  toasted walnut and maple vinaigrette', 'Malty')"
"('red chili sauce for kebabs of gyros', 'Hoppy')"
"('denise s zucchini bread', 'Fruity/Spicy')"
"('red velvet chocolate cake icing', 'Roasty')"
"('rich onion beef soup', 'Roasty')"
"('peanut butter power shake', 'Malty')"
"('ginger  lemon and garlic swordfish steak', 'Hoppy')"
"('cranberry almond cereal mix  diabetic friendly', 'Specialty')"
"('tropical caramelised bananas with jamaican spiced pancakes', 'Hoppy')"
"('brown rice mushroom pilaf', 'Rich/Hearty')"
"('pizza crust  gluten free', 'Fruity/Spicy')"
"('healthy cucumber sauce for seafood', 'Crisp')"
"('lentil tomato soup', 'Fruity/Spicy')"
"('debbie s marshmallow whipped sweet potatoes', 'Malty')"
"('crock pot chuck roast with coffee', 'Roasty')"
"('blueberry pudding', 'Specialty')"
"('fillet of red snapper with coconut sauce', 'Crisp')"
"('fold over enchilada bake', 'Specialty')"
"('italian sausage and white beans', 'Hoppy')"
"('chicken scarpariello   rachael ray', 'Hoppy')"
"('illegal pot pie', 'Specialty')"
"('pineapple topping for anything', 'Specialty')"
"('sesame chili and parsley crusted lamb fillets', 'Hoppy')"
"('feijoada   brazilian black beans with smoked meats', 'Hoppy')"
"('pineapple carrot raisin muffins', 'Malty')"
"('james beard s cheesed hamburgers', 'Hoppy')"
"('zesty turkey burgers', 'Specialty')"
"('eggs   rice', 'Fruity/Spicy')"
"('honey banana punch', 'Malty')"
"('snickerdoodles   blue ribbon', 'Specialty')"
"('vegetarian butternut squash lasagna', 'Specialty')"
"('raspberry shrimp and fruit salad', 'Crisp')"
"('lentil burgers', 'Rich/Hearty')"
"('choc orange bread   butter pudding', 'Roasty')"
"('steak   pasta', 'Hoppy')"
"('lentil spaghetti sauce', 'Hoppy')"
"('turkey calabacitas', 'Hoppy')"
"('purrrrfectly creamy cannoli gelato  revised', 'Specialty')"
"('stuffed chard  brenda pulvermacher   quadra island', 'Fruity/Spicy')"
"('lemon mushroom chicken', 'Fruity/Spicy')"
"('hoisin oven  barbecue chicken', 'Malty')"
"('mediterranean black olive bread', 'Sour')"
"('maple glazed beets', 'Malty')"
"('it s too easy  pork chops   rice casserole', 'Malty')"
"('bacon topped cheese potatoes', 'Specialty')"
"('chocolate covered cherry cake', 'Sour')"
"('praline ice cream cake sandwiches', 'Specialty')"
"('crock pot tangy chicken and black beans', 'Hoppy')"
"('silky cheesecake', 'Specialty')"
"('savannah cheesecake cookies  paula deen', 'Specialty')"
"('the best pasta salad', 'Hoppy')"
"('tropical pineapple   lime pork chops', 'Malty')"
"('wild rice cashew salad', 'Crisp')"
"('lasagna soup', 'Fruity/Spicy')"
"('barefoot contessa s chocolate white chocolate chunk cookies', 'Specialty')"
"('whole grain pizza dough', 'Roasty')"
"('easy chocolate banana cream pie', 'Specialty')"
"('diabetic sunshine orange cake', 'Fruity/Spicy')"
"('ellie krieger s sloppy joes', 'Hoppy')"
"('chocolate dipped peanut butter sandwich cookies', 'Roasty')"
"('farfalle pasta with zucchini  mint  and almonds', 'Fruity/Spicy')"
"('cranberry apple coleslaw', 'Specialty')"
"('can t be beet chocolate cake', 'Specialty')"
"('christmas casserole', 'Hoppy')"
"('grandma s blueberry streusel coffeecake', 'Specialty')"
"('jim s raita', 'Crisp')"
"('green beans vinaigrette', 'Roasty')"
"('momma s power protein veggie burgers', 'Rich/Hearty')"
"('uncle bill s cottage cheese perogie filling', 'Fruity/Spicy')"
"('tiny apple pies with crumble topping', 'Specialty')"
"('tex mex spice mix', 'Hoppy')"
"('grilled salmon  northwest style', 'Crisp')"
"('grilled chicken and pesto farfalle', 'Fruity/Spicy')"
"('grandma flo s german potato salad', 'Smoky')"
"('from scratch brownies  death by chocolate', 'Specialty')"
"('a vegetarian finnish mashed potato casserole', 'Rich/Hearty')"
"('bran buds muffins', 'Specialty')"
"('eggplant  aubergine  bruschetta', 'Fruity/Spicy')"
